Número REDS;Data Fato;Município;Código da Infração;AIT/ AINA - Número Documento;AIT/AINA - Órgão Origem -Autoridade Responsável;Qtde Infrações
2019-004825058-001;31/01/2019;DORES DO INDAIA;50371;AM00229414;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004825058-001;31/01/2019;DORES DO INDAIA;65992;AM00229413;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004825766-001;31/01/2019;MARTINHO CAMPOS;65992;AM00229287;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004828982-001;31/01/2019;LAGOA DA PRATA;76521;AM00364416;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004829632-001;31/01/2019;PARA DE MINAS;55411;AM00203799;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004834635-001;31/01/2019;MARTINHO CAMPOS;67261;AM00229270;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004837221-001;31/01/2019;MARTINHO CAMPOS;65992;AC01281481;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004846971-001;31/01/2019;ONCA DO PITANGUI;66102;AM00203968;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004853343-001;31/01/2019;ITATIAIUCU;50371;AM00044592;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004853343-001;31/01/2019;ITATIAIUCU;65561;AM00044590;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004853343-001;31/01/2019;ITATIAIUCU;65992;AM00044596;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004854006-001;31/01/2019;BOM DESPACHO;65992;AC0125044;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004854006-001;31/01/2019;BOM DESPACHO;67690;AC01280645;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004855931-001;31/01/2019;BOM DESPACHO;70561;AG02917611;MUNICIPAL;1
2019-004856817-001;31/01/2019;PARA DE MINAS;50100;AM00204180;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004856817-001;31/01/2019;PARA DE MINAS;52152;AM00331570;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004856817-001;31/01/2019;PARA DE MINAS;57970;AM00331566;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004856817-001;31/01/2019;PARA DE MINAS;58350;AM00331567;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004856817-001;31/01/2019;PARA DE MINAS;60501;AM00331569;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004856817-001;31/01/2019;PARA DE MINAS;60502;AM00331571;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004856817-001;31/01/2019;PARA DE MINAS;65992;AM00331564;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004856817-001;31/01/2019;PARA DE MINAS;66102;AM00331568;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004864882-001;31/01/2019;CARMO DO CAJURU;50100;AM00044115;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004886945-001;31/01/2019;POMPEU;65992;AM00227813;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004895329-001;31/01/2019;POMPEU;50100;AM00227816;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004895329-001;31/01/2019;POMPEU;65992;AM00227814;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004896455-001;31/01/2019;POMPEU;50100;AM00227817;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004896455-001;31/01/2019;POMPEU;65992;AM00227815;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004899628-001;01/02/2019;ITAUNA;52152;AG3381281;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004899628-001;01/02/2019;ITAUNA;57380;AG3381287;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004899628-001;01/02/2019;ITAUNA;60501;AG3381279;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004899628-001;01/02/2019;ITAUNA;70561;AG3381278;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004902216-001;01/02/2019;DIVINOPOLIS;50100;AM51355;DETRAN - DEPARTAMENTO DE TRANSITO;1
