Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Data Fato;Horário Fato;Descrição Longa Tipo Material;Descrição Longa Unidade Medida;Situação Material;Qtde Materiais;Qtde/Volume Material
2019-004319910-001;POLICIA MILITAR;INVÁLIDO;139 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;AVENIDA;INVÁLIDO;CIPRESTES;PREENCHIMENTO OPCIONAL;;1630;INVÁLIDO;JARDIM DAS ACACIAS;;;DIVINOPOLIS;;;28/01/2019;17:28:15;TELEVISAO;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-004323295-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;I99000;CONSUMADO;RUA;MARIA JOSE DA CRUZ DO TOUREIRO;;PREENCHIMENTO OPCIONAL;;17;SAO JOSE;;CASA;;POMPEU;-19,22965770;-45,00011950;28/01/2019;16:08:00;BUCHA DE MACONHA;PREENCHIMENTO OPCIONAL;APREENDIDO;1;0,00
2019-004329881-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;7 CIA PM RV/BPMRV/CPRV;C01155;CONSUMADO;SITIO;INVÁLIDO;PADRE LIBERIO;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;REGIÃO DE PAIOL;SITIO;PROXIMO AO ESPAÇO DE FESTA JOSEVILLE;PARA DE MINAS;;;28/01/2019;17:00:00;OUTROS - EQUIP ELETROS-DOMESTICOS (DISCRIMINAR NO HISTORICO);UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
2019-004329881-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;7 CIA PM RV/BPMRV/CPRV;C01155;CONSUMADO;SITIO;INVÁLIDO;PADRE LIBERIO;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;REGIÃO DE PAIOL;SITIO;PROXIMO AO ESPAÇO DE FESTA JOSEVILLE;PARA DE MINAS;;;28/01/2019;17:00:00;OUTROS - FERRAMENTAS EM GERAL;UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
2019-004329881-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;7 CIA PM RV/BPMRV/CPRV;C01155;CONSUMADO;SITIO;INVÁLIDO;PADRE LIBERIO;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;REGIÃO DE PAIOL;SITIO;PROXIMO AO ESPAÇO DE FESTA JOSEVILLE;PARA DE MINAS;;;28/01/2019;17:00:00;OUTROS - MATERIAIS DE CONSTRUCAO / ELETRICOS / TELEFONIA;UNIDADE;OUTROS - SITUACAO DO MATERIAL;1;0,00
2019-004335625-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;I04033;CONSUMADO;RUA;PROFESSORA MARIA GLORIA G FREITAS;;PREENCHIMENTO OPCIONAL;;746;SAO GERALDO;;;;CLAUDIO;-20,44337160;-44,78061560;28/01/2019;18:30:00;MACONHA PRENSADA (BARRA / TABLETE);UNIDADE;APREENDIDO;1;28,00
2019-004335625-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;I04033;CONSUMADO;RUA;PROFESSORA MARIA GLORIA G FREITAS;;PREENCHIMENTO OPCIONAL;;746;SAO GERALDO;;;;CLAUDIO;-20,44337160;-44,78061560;28/01/2019;18:30:00;MOEDA NACIONAL (REAL);UNIDADE;APREENDIDO;1;109,00
2019-004335625-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;I04033;CONSUMADO;RUA;PROFESSORA MARIA GLORIA G FREITAS;;PREENCHIMENTO OPCIONAL;;746;SAO GERALDO;;;;CLAUDIO;-20,44337160;-44,78061560;28/01/2019;18:30:00;OUTROS OBJETOS (DISCRIMINAR NO HISTORICO);PREENCHIMENTO OPCIONAL;APREENDIDO;1;0,00
2019-004335625-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;I04033;CONSUMADO;RUA;PROFESSORA MARIA GLORIA G FREITAS;;PREENCHIMENTO OPCIONAL;;746;SAO GERALDO;;;;CLAUDIO;-20,44337160;-44,78061560;28/01/2019;18:30:00;OUTROS OBJETOS (DISCRIMINAR NO HISTORICO);UNIDADE;APREENDIDO;4;4,00
2019-004335625-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;I04033;CONSUMADO;RUA;PROFESSORA MARIA GLORIA G FREITAS;;PREENCHIMENTO OPCIONAL;;746;SAO GERALDO;;;;CLAUDIO;-20,44337160;-44,78061560;28/01/2019;18:30:00;OUTROS - TIPOS DE MOEDAS;UNIDADE;APREENDIDO;1;60,00
