UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO;ANO
UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO;2019
MG;CORREGO NOVO;952;348;0;17;1;58;7;0;10;4;473;7;10;0;15;2;0;0;0;0;0;0;2019
MG;COUTO DE MAGALHAES DE MINAS;1534;817;0;67;2;185;34;0;0;4;369;5;14;0;28;0;0;0;0;0;4;5;2019
MG;CRISOLITA;892;302;0;17;0;71;9;0;5;12;434;23;12;0;7;0;0;0;0;0;0;0;2019
MG;CRISTAIS;6124;3461;0;196;8;628;111;0;11;30;1513;57;30;0;52;11;0;0;0;0;1;15;2019
MG;CRISTALIA;1513;392;0;41;2;137;15;0;0;5;853;18;32;0;14;2;0;0;0;0;2;0;2019
MG;CRISTIANO OTONI;2915;1606;0;145;47;224;76;0;7;16;644;18;32;0;48;49;0;0;0;0;0;3;2019
MG;CRISTINA;3819;2033;0;106;6;353;90;0;25;29;1041;36;25;0;50;4;1;2;0;0;2;16;2019
MG;CRUCILANDIA;3281;1467;0;169;4;293;45;0;7;12;1144;61;20;0;29;8;0;0;0;0;3;19;2019
MG;CRUZEIRO DA FORTALEZA;1858;903;0;118;15;256;20;0;1;10;431;23;18;0;44;14;0;0;0;0;0;5;2019
MG;CRUZILIA;8661;4827;0;422;11;883;171;0;16;48;1886;128;71;0;129;28;3;0;0;1;2;35;2019
MG;CUPARAQUE;1738;538;0;68;3;124;19;0;7;7;818;128;7;0;16;0;0;0;0;2;1;0;2019
MG;CURRAL DE DENTRO;2091;722;0;78;2;168;26;0;2;11;910;118;24;0;22;5;0;1;0;0;0;2;2019
MG;CURVELO;45051;19507;0;1379;907;3767;858;0;529;86;12220;2664;1499;0;779;653;2;2;0;3;38;158;2019
MG;DATAS;1716;969;0;53;0;264;31;0;1;6;350;3;23;0;14;0;0;0;0;0;1;1;2019
MG;DELFIM MOREIRA;2847;1347;0;90;9;278;143;0;11;14;862;10;30;0;22;4;0;1;0;0;4;22;2019
MG;DELFINOPOLIS;3102;1765;0;144;4;415;81;0;10;19;503;24;28;0;64;8;1;1;0;0;0;35;2019
MG;DELTA;5666;2762;0;527;203;407;138;0;27;48;616;59;188;0;282;387;2;0;0;3;4;13;2019
MG;DESCOBERTO;2128;1135;0;41;1;160;51;0;3;11;660;30;4;0;22;3;0;0;0;0;2;5;2019
MG;DESTERRO DE ENTRE RIOS;4323;1975;0;147;33;313;38;0;3;22;1662;21;30;0;28;40;0;1;0;0;4;6;2019
MG;DESTERRO DO MELO;1871;783;0;47;0;117;25;0;2;13;831;8;20;0;15;1;0;0;0;0;2;7;2019
MG;DIAMANTINA;22612;11957;0;487;26;2350;688;0;6;107;6077;49;341;0;211;27;0;3;0;1;34;248;2019
MG;DIOGO DE VASCONCELOS;1294;492;0;22;0;90;7;0;1;7;633;13;12;0;12;0;0;0;0;0;5;0;2019
MG;DIONISIO;2286;1214;0;47;3;198;24;0;13;6;700;13;24;0;32;3;0;0;0;0;4;5;2019
MG;DIVINESIA;1468;629;0;107;3;138;16;0;46;7;465;15;13;0;22;2;0;0;0;0;1;4;2019
MG;DIVINO;10740;4932;0;312;35;983;129;0;37;28;3907;115;61;0;142;16;0;1;0;1;7;34;2019
MG;DIVINO DAS LARANJEIRAS;1414;604;0;59;1;111;21;0;3;1;537;36;10;0;25;0;0;0;0;0;1;5;2019
MG;DIVINOLANDIA DE MINAS;3063;1292;0;95;12;258;31;0;7;5;1216;82;20;0;28;11;0;1;0;0;2;3;2019
MG;DIVINOPOLIS;145008;81408;0;3414;922;11323;4163;0;374;302;30555;5254;775;2;4275;996;43;14;0;6;73;1109;2019
MG;DIVISA ALEGRE;1221;560;0;72;18;104;11;0;7;9;361;15;12;0;31;17;1;0;0;0;1;2;2019
MG;DIVISA NOVA;2725;1636;0;105;8;262;57;0;12;42;469;36;49;0;34;2;2;3;0;0;3;5;2019
MG;DIVISOPOLIS;1333;550;0;69;2;160;23;0;8;17;450;25;14;0;10;3;0;0;0;1;0;1;2019
MG;DOM BOSCO;1457;521;0;31;9;124;27;0;10;10;615;35;16;0;40;16;2;0;0;0;1;0;2019
MG;DOM CAVATI;3104;1490;0;173;14;253;84;0;5;4;916;89;17;0;34;15;1;0;0;0;1;8;2019
MG;DOM JOAQUIM;1303;539;0;32;0;132;17;0;1;8;537;7;13;0;11;1;0;0;0;2;0;3;2019
MG;DOM SILVERIO;2414;1162;0;81;3;206;21;0;6;11;871;20;14;0;12;1;0;0;0;0;3;3;2019
MG;DOM VICOSO;1290;610;0;36;0;149;35;0;8;15;401;10;16;0;9;0;0;0;0;0;1;0;2019
MG;DONA EUZEBIA;3585;1366;0;345;21;465;134;0;14;5;1022;116;8;0;42;26;5;0;0;0;4;12;2019
MG;DORES DE CAMPOS;5795;3161;0;142;7;494;141;0;14;31;1504;172;43;0;52;5;0;1;0;0;1;27;2019
MG;DORES DE GUANHAES;1841;662;0;56;16;137;17;0;2;8;866;11;27;0;12;23;0;1;0;0;1;2;2019
MG;DORES DO INDAIA;7701;4666;0;264;23;995;207;0;16;50;1029;209;27;0;144;33;0;1;0;0;8;29;2019
MG;DORES DO TURVO;3038;1182;0;85;4;222;27;0;85;4;1319;52;21;0;31;0;0;0;0;0;2;4;2019
MG;DORESOPOLIS;672;326;0;18;0;118;14;0;0;5;158;7;7;0;19;0;0;0;0;0;0;0;2019
MG;DOURADOQUARA;869;470;0;34;0;103;16;0;0;6;186;13;4;0;34;1;0;0;0;0;0;2;2019
MG;DURANDE;3930;1523;0;120;4;355;63;0;44;11;1715;38;33;0;15;5;0;0;0;0;0;4;2019
MG;ELOI MENDES;13238;7457;0;639;176;1284;344;0;6;89;2699;120;66;0;108;191;0;3;0;0;10;46;2019
MG;ENGENHEIRO CALDAS;3608;1733;0;163;9;306;67;0;14;9;1092;117;20;0;50;12;1;0;0;1;4;10;2019
MG;ENGENHEIRO NAVARRO;1962;934;0;75;10;170;46;0;3;9;590;37;28;0;36;9;0;0;0;0;3;12;2019
MG;ENTRE FOLHAS;2510;882;0;75;3;179;36;0;4;3;1262;28;17;0;15;3;0;0;0;1;0;2;2019
MG;ENTRE RIOS DE MINAS;9068;4751;0;320;91;789;162;0;5;29;2507;82;71;0;142;80;0;2;0;0;2;35;2019
MG;ERVALIA;11313;4862;0;386;20;952;156;0;101;24;4405;196;77;0;75;20;1;1;0;1;3;33;2019
MG;ESMERALDAS;18057;10891;0;592;100;1456;473;0;63;72;3579;140;333;0;245;58;0;1;0;6;5;43;2019
MG;ESPERA FELIZ;13424;6364;0;440;19;1154;187;0;112;44;4476;254;64;0;228;22;1;2;0;0;7;50;2019
MG;ESPINOSA;16043;4241;0;413;14;1246;136;0;26;53;8614;844;136;0;268;16;0;1;0;0;6;29;2019
MG;ESPIRITO SANTO DO DOURADO;2591;1370;0;120;2;328;53;0;8;8;635;15;15;0;28;6;0;1;0;0;0;2;2019
MG;ESTIVA;6681;3166;0;305;70;931;309;0;14;26;1482;162;30;0;72;90;2;1;0;0;1;20;2019
MG;ESTRELA DALVA;855;497;0;33;3;64;18;0;13;5;180;10;5;0;17;7;0;0;0;0;1;2;2019
MG;ESTRELA DO INDAIA;1502;893;0;53;5;212;37;0;1;7;243;12;7;0;25;3;0;0;0;0;2;2;2019
MG;ESTRELA DO SUL;2730;1527;0;127;17;252;43;0;9;22;475;104;22;0;97;32;0;0;0;0;0;3;2019
MG;EUGENOPOLIS;5163;2523;0;160;6;322;83;0;103;43;1687;56;39;0;120;6;0;0;0;1;1;13;2019
MG;EWBANK DA CAMARA;1064;672;0;50;4;77;44;0;2;4;172;8;6;0;17;5;0;0;0;0;0;3;2019
MG;EXTREMA;22780;13612;0;591;259;1900;601;0;11;159;4287;533;211;0;195;233;1;0;0;4;4;179;2019
MG;FAMA;745;437;0;17;0;84;35;0;2;6;119;5;2;0;34;0;0;1;0;0;0;3;2019
MG;FARIA LEMOS;1136;555;0;28;0;97;31;0;2;7;375;20;3;0;12;0;0;1;0;0;0;5;2019
MG;FELICIO DOS SANTOS;2001;832;0;54;3;176;44;0;5;20;785;18;33;0;20;3;0;0;0;0;4;4;2019
MG;FELISBURGO;2120;786;0;28;0;163;15;0;8;13;1041;27;18;0;16;0;0;0;0;0;2;3;2019
MG;FELIXLANDIA;5883;3041;0;266;51;488;92;0;78;21;1290;151;68;0;236;92;0;1;0;0;2;6;2019
MG;FERNANDES TOURINHO;1061;435;0;23;0;80;15;0;1;10;440;23;13;0;19;0;0;0;0;0;1;1;2019
MG;FERROS;4136;1600;0;126;17;328;48;0;22;23;1822;16;61;0;38;12;4;0;1;1;5;12;2019
MG;FERVEDOURO;4501;2100;0;194;15;388;72;0;26;12;1597;21;23;0;26;13;0;1;0;1;3;9;2019
MG;FLORESTAL;4165;2261;0;140;40;348;104;0;14;15;973;110;38;0;70;30;1;0;0;0;2;19;2019
MG;FORMIGA;47134;23307;0;1836;436;4049;1150;0;68;208;12575;1570;243;0;926;503;0;2;0;14;30;217;2019
MG;FORMOSO;1377;525;0;61;6;178;20;0;5;6;472;24;42;0;29;6;1;0;0;0;0;2;2019
MG;FORTALEZA DE MINAS;2014;1163;0;75;8;174;30;0;3;22;442;27;18;0;34;9;0;1;0;0;0;8;2019
MG;FORTUNA DE MINAS;1096;581;0;41;4;116;31;0;17;6;255;8;13;0;19;1;0;0;0;0;0;4;2019
MG;FRANCISCO BADARO;2622;522;0;57;0;194;19;0;0;10;1724;44;40;0;11;0;0;1;0;0;0;0;2019
MG;FRANCISCO DUMONT;1503;609;0;83;7;154;21;0;0;8;529;19;40;0;17;10;0;0;0;0;0;6;2019
MG;FRANCISCO SA;7639;2952;0;296;63;706;125;0;41;27;2852;179;144;0;140;84;0;1;0;0;2;27;2019
MG;FRANCISCOPOLIS;1088;313;0;22;3;99;19;0;5;10;574;5;22;0;8;0;0;0;0;0;4;4;2019
MG;FREI GASPAR;1354;425;0;34;0;79;26;0;11;10;723;10;19;0;16;0;0;0;0;0;1;0;2019
MG;FREI INOCENCIO;2855;1238;0;98;23;210;39;0;10;9;1074;44;31;0;51;22;0;0;0;0;2;4;2019
MG;FREI LAGONEGRO;1314;402;0;14;0;85;10;0;0;2;746;34;16;0;4;0;0;0;0;0;0;1;2019
MG;FRONTEIRA;7750;3765;0;269;63;736;198;0;53;43;1624;327;98;0;469;73;5;2;0;0;2;23;2019
MG;FRONTEIRA DOS VALES;834;306;0;15;0;70;19;0;3;7;393;13;7;0;1;0;0;0;0;0;0;0;2019
MG;FRUTA DE LEITE;1064;323;0;24;1;84;13;0;0;7;561;5;37;0;7;0;0;0;0;1;0;1;2019
MG;FRUTAL;44054;20231;0;1695;308;4381;1074;0;184;163;9128;4038;239;0;1829;537;32;6;0;1;13;195;2019
MG;FUNILANDIA;1511;779;0;65;4;140;34;0;28;2;387;19;28;0;21;2;0;0;0;0;1;1;2019
MG;GALILEIA;1835;875;0;71;4;149;32;0;11;6;597;23;13;0;47;1;0;1;0;0;0;5;2019
MG;GAMELEIRAS;1465;392;0;39;0;172;14;0;3;6;773;38;21;0;7;0;0;0;0;0;0;0;2019
MG;GLAUCILANDIA;334;109;0;8;0;26;2;0;0;1;169;6;8;0;3;0;0;1;0;0;0;1;2019
MG;GOIABEIRA;1405;462;0;42;0;55;11;0;1;8;729;67;5;0;22;0;0;0;0;2;1;0;2019
MG;GOIANA;1660;1044;0;38;2;108;75;0;20;7;291;9;9;0;48;1;0;2;0;0;0;6;2019
MG;GONCALVES;2583;1233;0;103;2;326;62;0;0;17;701;10;14;0;37;2;0;0;0;0;1;75;2019
MG;GONZAGA;2833;1084;0;51;2;215;23;0;5;8;1258;135;14;0;27;0;0;0;0;0;7;4;2019
MG;GOUVEA;4805;2727;0;143;4;565;105;0;37;16;1061;17;45;0;68;4;0;0;0;2;0;11;2019
MG;GOVERNADOR VALADARES;141020;62536;0;3483;868;9369;3114;0;1687;376;45190;9051;422;1;2792;1056;96;18;1;4;109;847;2019
MG;GRAO MOGOL;3293;1211;0;116;14;337;48;0;1;29;1319;41;93;0;56;23;0;0;0;0;0;5;2019
MG;GRUPIARA;603;301;0;16;1;71;7;0;0;5;163;15;5;0;18;1;0;0;0;0;0;0;2019
MG;GUANHAES;19401;8506;0;646;68;1900;293;0;55;73;6982;309;143;0;292;72;2;5;0;0;8;47;2019
MG;GUAPE;7359;4031;0;284;9;687;116;0;10;31;1919;73;76;0;77;18;1;0;0;0;3;24;2019
MG;GUARACIABA;4088;1440;0;96;3;270;49;0;11;25;2051;48;52;0;30;2;0;0;0;0;5;6;2019
MG;GUARACIAMA;1715;674;0;64;13;137;16;0;7;4;733;21;20;0;8;17;0;0;0;0;0;1;2019
MG;GUARANESIA;11609;6786;0;435;43;969;279;0;32;86;2329;264;144;0;88;102;2;1;0;0;5;44;2019
MG;GUARANI;2906;1621;0;89;1;267;45;0;86;20;675;16;17;0;50;1;0;0;0;2;0;16;2019
MG;GUARARA;1755;1045;0;62;0;144;41;0;37;13;345;23;5;0;30;2;0;2;0;1;1;4;2019
MG;GUARDA-MOR;3053;1570;0;155;49;496;63;0;9;23;403;42;41;0;115;74;0;0;0;1;1;11;2019
MG;GUAXUPE;34078;20404;0;953;240;3015;829;0;72;109;6543;874;154;0;381;287;2;5;0;0;14;196;2019
MG;GUIDOVAL;3847;1407;0;174;20;258;41;0;92;3;1592;175;13;0;42;21;1;1;0;1;2;4;2019
MG;GUIMARANIA;4054;2178;0;202;17;397;66;0;9;17;869;100;56;0;122;16;0;0;0;0;1;4;2019
MG;GUIRICEMA;5385;1927;0;276;17;396;75;0;53;16;2384;134;25;0;53;17;1;0;0;0;2;9;2019
MG;GURINHATA;2298;1055;0;119;11;308;45;0;3;13;560;63;37;0;64;16;0;0;0;1;0;3;2019
MG;HELIODORA;2597;1454;0;93;1;273;70;0;4;18;603;13;22;0;38;4;0;1;0;0;0;3;2019
