UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO;ANO
MG;MARAVILHAS;3531;1566;0;173;30;375;49;0;8;18;1066;172;16;0;16;36;0;0;0;0;1;5;2016
MG;MARIA DA FE;4977;2761;0;274;7;516;138;0;12;20;1105;28;39;0;42;8;0;0;0;0;0;27;2016
MG;MARIANA;25453;14629;0;732;53;2212;684;0;51;216;5635;387;316;0;252;48;5;1;0;6;22;204;2016
MG;MARILAC;1018;356;0;27;2;54;3;0;1;4;510;21;15;0;19;2;1;0;0;0;0;3;2016
MG;MARIO CAMPOS;6214;3661;0;274;83;697;209;0;17;29;976;30;26;0;65;126;0;3;0;0;0;18;2016
MG;MARIPA DE MINAS;1432;801;0;52;1;127;33;0;0;6;342;44;6;0;14;2;0;0;0;0;3;1;2016
MG;MARLIERIA;1455;749;0;45;4;124;26;0;9;7;452;9;13;0;11;2;0;0;0;0;0;4;2016
MG;MARMELOPOLIS;1156;452;0;42;0;96;48;0;1;6;494;1;11;0;1;0;0;0;0;0;0;4;2016
MG;MARTINHO CAMPOS;7301;3382;0;413;314;617;101;0;13;31;1361;210;77;0;253;501;15;2;0;0;2;9;2016
MG;MARTINS SOARES;3469;1527;0;161;12;363;53;0;34;12;1203;16;19;0;43;17;0;0;0;0;0;9;2016
MG;MATA VERDE;1612;442;0;64;0;175;18;0;1;42;829;26;10;0;4;0;0;0;0;0;0;1;2016
MG;MATERLANDIA;1189;388;0;16;0;98;14;0;3;4;641;11;2;0;8;0;0;0;0;0;4;0;2016
MG;MATEUS LEME;14155;8440;0;620;98;1189;473;0;55;101;2421;261;136;0;241;66;3;2;0;3;3;43;2016
MG;MATHIAS LOBATO;708;295;0;35;4;30;7;0;1;3;270;32;9;0;13;7;0;0;0;0;0;2;2016
MG;MATIAS BARBOSA;7019;3449;0;719;352;477;213;0;44;50;881;52;47;0;134;552;0;3;0;0;7;39;2016
MG;MATIAS CARDOSO;1333;408;0;49;2;92;19;0;3;3;659;44;27;0;21;4;0;0;0;0;2;0;2016
MG;MATIPO;6290;3290;0;314;38;706;120;0;47;32;1535;66;54;0;33;44;1;0;0;0;0;10;2016
MG;MATO VERDE;7714;1785;0;194;2;431;51;0;11;7;4753;302;42;0;119;2;0;1;0;0;4;10;2016
MG;MATOZINHOS;16112;9395;0;431;271;1260;477;0;102;117;2544;256;157;0;225;803;0;1;0;1;7;65;2016
MG;MATUTINA;1956;1037;0;81;0;295;18;0;4;23;438;28;8;0;21;0;0;0;0;0;0;3;2016
MG;MEDEIROS;1818;961;0;78;3;298;25;0;0;23;395;7;8;0;12;2;0;0;0;0;0;6;2016
MG;MEDINA;4831;2238;0;177;25;526;86;0;7;64;1394;166;43;0;53;33;7;0;0;0;2;10;2016
MG;MENDES PIMENTEL;2130;763;0;43;0;117;26;0;1;9;1060;64;14;0;27;0;0;1;0;0;1;4;2016
MG;MERCES;4758;2095;0;192;18;306;154;0;27;33;1703;91;18;0;70;35;1;0;0;0;8;7;2016
MG;MESQUITA;1644;804;0;29;1;135;19;0;6;18;591;7;14;0;19;1;0;0;0;0;0;0;2016
MG;MINAS NOVAS;7010;2320;0;186;17;570;110;0;10;36;3525;42;108;0;40;19;3;0;0;0;16;8;2016
MG;MINDURI;1504;828;0;86;8;140;36;0;1;9;323;32;5;0;15;14;0;0;0;0;0;7;2016
