Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Data Fato;Horário Fato;Descrição Tipo Material;Situação Material;Qtde Materiais
2020-008997561-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;C01157;TENTADO;RUA;MARIA DE PAULA AFONSO;;PREENCHIMENTO OPCIONAL;;834;NOSSA SENHORA APARECIDA;;;;POMPEU;-19,23328460;-45,00629560;20/02/2020;13:50:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-009845566-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;C01157;CONSUMADO;RUA;VIGARIO ANTUNES;;PREENCHIMENTO OPCIONAL;;291;CENTRO;;;;ITAPECERICA;-20,46976380;-45,12541790;25/02/2020;01:38:24;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-014665932-001;POLICIA MILITAR;280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;ROGERIO MARTINS;;PREENCHIMENTO OPCIONAL;;171;CONCESSO ELIAS;;;;NOVA SERRANA;-19,85468400;-44,98716420;23/03/2020;22:50:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-015200913-001;POLICIA MILITAR;280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;ESMERALDA;;PREENCHIMENTO OPCIONAL;;304;FREI AMBROSIO;;;;NOVA SERRANA;-19,86026690;-44,98069500;27/03/2020;20:10:55;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-015460884-001;POLICIA MILITAR;279 CIA PM/60 BPM/7 RPM;68 CIA TM/60 BPM/7 RPM;C01157;TENTADO;RUA;PADRE LIBERIO;;VEREADOR JESUS MARTINS;;;INVÁLIDO;;;;NOVA SERRANA;-19,87823340;-44,98583660;29/03/2020;21:17:09;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-015630746-001;POLICIA MILITAR;INVÁLIDO;279 CIA PM/60 BPM/7 RPM;C01157;TENTADO;RUA;INVÁLIDO;JAMAICA;PREENCHIMENTO OPCIONAL;;819;INVÁLIDO;CONCESSO ELIAS;;;NOVA SERRANA;;;31/03/2020;00:04:36;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-015909360-001;POLICIA MILITAR;279 CIA PM/60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;DEPUTADO AECIO CUNHA;;PREENCHIMENTO OPCIONAL;;1092;INVÁLIDO;;;;NOVA SERRANA;-19,88303970;-44,94640220;01/04/2020;20:18:04;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-017726030-001;POLICIA MILITAR;139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;FRANCISCO CAETANO RIBEIRO;;PREENCHIMENTO OPCIONAL;;260;FLORERMIDA;;;;DIVINOPOLIS;-20,10291640;-44,97259360;13/04/2020;19:24:29;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-017737028-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;VEREADOR DR ANTENOR CHAGAS MADEIRA;;PREENCHIMENTO OPCIONAL;;802;MARILIA;;;;LAGOA DA PRATA;-20,02338040;-45,52510220;13/04/2020;22:27:13;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-019257298-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;JOAO MORATO DE FARIA;;PREENCHIMENTO OPCIONAL;;11;CENTRO;;;;DIVINOPOLIS;-20,14863730;-44,89134140;22/04/2020;21:20:30;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
