Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Situação Arma;Tipo Arma;Data Fato;Horário Fato;Qtde  Armas de Fogo
2019-002950038-001;POLICIA MILITAR;2 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;A03000;CONSUMADO;RUA;OLINTO FONSECA;;PREENCHIMENTO OPCIONAL;;850;CENTRO;;;;PIMENTA;-20,47726770;-45,80044420;APREENDIDO;REVOLVER;20/01/2019;02:00:00;1
2019-003032008-001;POLICIA MILITAR;2 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E03012;CONSUMADO;RUA;OLAVO ALVES PINTO;;PREENCHIMENTO OPCIONAL;;396;ALTO SAO FRANCISCO;;;;MARTINHO CAMPOS;-19,32354010;-45,23678320;APREENDIDO;PISTOLA;20/01/2019;18:35:00;1
2019-003104195-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;E03012;CONSUMADO;RUA;LEOPOLDINA CORREA;;PREENCHIMENTO OPCIONAL;;256;SANTANENSE;;fundos;;ITAUNA;-20,07165460;-44,60735450;APREENDIDO;REVOLVER;21/01/2019;10:47:03;1
2019-003169933-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;7 CIA PM MAMB/BPM MAMB/CPMAMB;E03012;CONSUMADO;POVOADO;CACHOEIRA PIOS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;CLAUDIO;-20,39036100;-44,81377800;APREENDIDO;ESPINGARDA / ESCOPETA;21/01/2019;16:31:27;1
2019-003275470-001;POLICIA MILITAR;4 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;E03012;CONSUMADO;RUA;DO CRUZEIRO;;PREENCHIMENTO OPCIONAL;;0;CENTRO;;;;MARAVILHAS;-19,51365370;-44,67672800;APREENDIDO;REVOLVER;22/01/2019;09:00:00;1
2019-003472804-001;POLICIA MILITAR;3 PEL/141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;Y10003;CONSUMADO;DISTRITO;FREI ORLANDO;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;MORADA NOVA DE MINAS;-18,83817330;-45,22561210;APREENDIDO;REVOLVER;23/01/2019;06:00:00;1
2019-003474480-001;POLICIA MILITAR;60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;INVÁLIDO;PARAGUACU;PREENCHIMENTO OPCIONAL;;1025;INVÁLIDO;CONCESSO ELIAS;;;NOVA SERRANA;;;APREENDIDO;GARRUCHA;23/01/2019;13:23:49;1
2019-003531899-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;I04033;CONSUMADO;RUA;LAMENTACOES;;PREENCHIMENTO OPCIONAL;;30;SANTOS DUMONT;;;;PARA DE MINAS;-19,84306620;-44,59006630;APREENDIDO;ESPINGARDA POLVEIRA;23/01/2019;17:55:22;1
2019-003667516-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;7 CIA PM IND PE/7 RPM;I04033;CONSUMADO;RUA;DEPUTADO JAIME MARTINS;;PREENCHIMENTO OPCIONAL;;82;SAO JOAO DE DEUS;;;;DIVINOPOLIS;-20,13866180;-44,87074700;APREENDIDO;REVOLVER;24/01/2019;15:19:50;1
2019-003693605-001;POLICIA MILITAR;3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;E03014;CONSUMADO;ALAMEDA;DOS IPES;;PREENCHIMENTO OPCIONAL;;707;VITORIA;;;;CARMO DO CAJURU;-20,19985320;-44,75033520;APREENDIDO;ESPINGARDA POLVEIRA;24/01/2019;17:23:20;3
