Unid Registro Nível 6;TIPO
1 GP/1 PEL MAMB/6 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/2 PEL RV/10 CIA PM RV/BPMRV/CPRV ;CPRV
5 GP/2 PEL RV/15 CIA PM RV/BPMRV/CPRV ;CPRV
4 GP/1 PEL RV/7 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/1 PEL RV/8 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/1 PEL RV/10 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/2 PEL RV/6 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/1 PEL MAMB/13 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/3 PEL RV/11 CIA PM RV/BPMRV ;CPRV
2 GP/1 PEL RV/1 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/1 PEL RV/7 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/1 PEL MAMB/11 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP RV/1 PEL RV/8 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/2 PEL RV/15 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/2 PEL RV/11 CIA PM RV/BPRV ;CPRV
3 GP/2 PEL PM RV/12 CIA PM RV/BPMRV/CPRV ;CPRV
4 GP/2 PEL MAMB/16 CIA PM MAMB/BPM MAMB ;CPMAMB
5 GP/3 PEL MAMB/7 CIA PM MAMB/BPM MAMB ;CPMAMB
8 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/2 PEL MAMB/12 CIA PM MAMB/BPM MAMB ;CPMAMB
1 PEL MAMB/16 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/1 PEL MAMB/8 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/2 PEL PM RV/13 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/3 PEL MAMB/14 CIA PM MAMB/BPM MAMB ;CPMAMB
1 PEL MAMB/6 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/2 PEL MAMB/13 CIA PM MAMB/BPM MAMB ;CPMAMB
4 GP/2 PEL MAMB/14 CIA PM MAMB/BPM MAMB ;CPMAMB
4 GP/2 PEL MAMB/12 CIA PM MAMB/BPM MAMB ;CPMAMB
